genero_usuario,edad_usuario,Generacion,nombre_estacion_origen,duracion_recorrido
MALE,27,"Millennials Jóvenes","001 - FACULTAD DE DERECHO",477
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",261
MALE,27,"Millennials Jóvenes","089 - Cabello",285
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",339
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",358
MALE,27,"Millennials Jóvenes","089 - Cabello",816
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",685
MALE,27,"Millennials Jóvenes","089 - Cabello",395
MALE,27,"Millennials Jóvenes","009 - Parque Las Heras",986
MALE,27,"Millennials Jóvenes","065 - Julián Álvarez",381
MALE,27,"Millennials Jóvenes","158 - VILLARROEL",1280
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",299
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",276
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",273
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",332
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",111
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",852
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",233
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",246
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",267
MALE,27,"Millennials Jóvenes","089 - Cabello",443
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",321
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",349
MALE,27,"Millennials Jóvenes","294 - PLAZOLETA RÍO DE LA PLATA",495
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",742
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",359
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",296
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",278
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",311
MALE,27,"Millennials Jóvenes","181 - BILLINGHURST Y MANSILLA",340
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",246
MALE,27,"Millennials Jóvenes","181 - BILLINGHURST Y MANSILLA",358
MALE,27,"Millennials Jóvenes","089 - Cabello",471
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",621
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",373
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",213
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",322
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",303
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",298
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",354
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",436
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",298
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",329
MALE,27,"Millennials Jóvenes","089 - Cabello",484
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",320
MALE,27,"Millennials Jóvenes","166 - Cementerio de Recoleta",510
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",404
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",402
